name,rating,review,colour,date,title,lang,review_en
Placeholder,4.0 out of 5 stars,You are Superb alexa.,BlackConfiguration: Echo Dot Only,17 October 2025,Super,ro,You are Superb alexa.
Rama  gouda,4.0 out of 5 stars,Good,BlueConfiguration: Echo Dot Only,17 October 2025,Good,so,Good
Arul Thirumurugan,4.0 out of 5 stars,Very good product,BlueConfiguration: with smart plug for ACs,15 October 2025,Very very good product,en,Very good product
Sudipto Jana,4.0 out of 5 stars,Amazon Echo Dot (5th Gen) is excellent for personal use and smaller spaces.I Liked It !!,BlackConfiguration: Echo Dot Only,4 October 2025,❤️,en,Amazon Echo Dot (5th Gen) is excellent for personal use and smaller spaces.I Liked It !!
Kishor Singh,4.0 out of 5 stars,Good but Sound thoda aur jyada hota to achha tha,BlackConfiguration: Echo Dot Only,7 October 2025,Good product,en,Good but Sound thoda aur jyada hota to achha tha
Swapnil G.,4.0 out of 5 stars,Product is good,BlueConfiguration: Echo Dot Only,6 October 2025,Good for kids,en,Product is good
pinal desai,4.0 out of 5 stars,nice but not much use u less u attach house devices in it.. many many things are lacking in it..,BlueConfiguration: Echo Dot Only,9 October 2025,cool device..,en,nice but not much use u less u attach house devices in it.. many many things are lacking in it..
Sanjiv S,4.0 out of 5 stars,Quite entertaining though Alexa does not respond sometime,WhiteConfiguration: Echo Dot Only,5 October 2025,Awesome,en,Quite entertaining though Alexa does not respond sometime
Akb,4.0 out of 5 stars,Good,BlackConfiguration: Echo Dot Only,27 September 2025,Very nice product,so,Good
karthi,4.0 out of 5 stars,"Very good sound quality, brought for kids learning, ended up with listening songs, most of the things in the app not working",BlueConfiguration: Echo Dot Only,17 September 2025,Read this before you buy,en,"Very good sound quality, brought for kids learning, ended up with listening songs, most of the things in the app not working"
Tapan Aigal,3.0 out of 5 stars,"Ask to play songs selected Alexa play different song , dosenot connect Amazon,",BlueConfiguration: Echo Dot Only,9 November 2025,Music,en,"Ask to play songs selected Alexa play different song , dosenot connect Amazon,"
Pranav Mohandas,4.0 out of 5 stars,"The product works well, and it is a good buy. This product does what it's designed to do, so consider it. You will not be disappointed by its performance.",BlackConfiguration: Echo Dot Only,7 September 2025,Product presents,en,"The product works well, and it is a good buy. This product does what it's designed to do, so consider it. You will not be disappointed by its performance."
Amazon Customer,4.0 out of 5 stars,"Good Product, Connectivity is a bit difficult in the beginning, but sound and other attributes are nice design I always like the globe shape, but I still feel the sound could be a but louder, and internal battery can be placed Otherwise the product is good enjoying it.",BlueConfiguration: Echo Dot Only,23 August 2025,Good Product,en,"Good Product, Connectivity is a bit difficult in the beginning, but sound and other attributes are nice design I always like the globe shape, but I still feel the sound could be a but louder, and internal battery can be placed Otherwise the product is good enjoying it."
Pooja K,3.0 out of 5 stars,"Not recommended. You can have better conversation and command with kids than this...It feels like waste of money. For every other command it says ""I can't do that"". For music it needs apps subscribtion and for kids stories it needs audible subscription.For it's operating you may require several other apps subscribtion.Not sure if google may do better job than this.",BlueConfiguration: Echo Dot Only,26 September 2025,Not recommended,en,"Not recommended. You can have better conversation and command with kids than this...It feels like waste of money. For every other command it says ""I can't do that"". For music it needs apps subscribtion and for kids stories it needs audible subscription.For it's operating you may require several other apps subscribtion.Not sure if google may do better job than this."
arjun singh,3.0 out of 5 stars,Lagging a lot of times. Many a times 5-6 times in a single song of 4 minutes. Sound quality is very good. Works bery faster with commands. The only problem i found was its laggness.,WhiteConfiguration: Echo Dot Only,15 October 2025,Can be purchased,en,Lagging a lot of times. Many a times 5-6 times in a single song of 4 minutes. Sound quality is very good. Works bery faster with commands. The only problem i found was its laggness.
Guruprasad C H,3.0 out of 5 stars,"This is my second echo device is last 3 years, 4th and 5th generation both tried. They have faulty wifi hard ware in this product both of my devices failed. First one after warranty and repair cost was almost same as new device so bought new one now that is also broken with same issue. It is within warranty, fingers crossed if they service free of cost or again charge as much as new device. Avoid amazon echo dot instead of going through this headache.",BlueConfiguration: Echo Dot Only,5 September 2025,"Avoid, they have faulty WiFi hardware inside",en,"This is my second echo device is last 3 years, 4th and 5th generation both tried. They have faulty wifi hard ware in this product both of my devices failed. First one after warranty and repair cost was almost same as new device so bought new one now that is also broken with same issue. It is within warranty, fingers crossed if they service free of cost or again charge as much as new device. Avoid amazon echo dot instead of going through this headache."
Arshid Rafiq  Wani,5.0 out of 5 stars,Best 5th generation but display not good no show in time display,BlackConfiguration: Echo Dot Only,2 November 2025,9,en,Best 5th generation but display not good no show in time display
varun singh,5.0 out of 5 stars,Amazing quality and features,BlackConfiguration: Echo Dot Only,7 November 2025,Amazing,en,Amazing quality and features
Siddharth,5.0 out of 5 stars,"Liked that,Echo Dot 5 can be used as external bluetooth speaker even for 2nd generation Fire TV stick attached to older non smart HDMI TV.It also controlled the 2nd generation Fire TV stick to open applications & all on TV,do some searches on TV as well.It has temperature sensor & some ultrasound sensor which couldn't be tested without more smart devices.The bass sound is good from small speaker. Mics are nice & sensitive enough.It came preconfigured & connected directly from Amazon cloud synced data from 2nd generation Fire TV stick.Didnot like no rechargable battery included.Always a corded wire shows up.Looks bad for a smart device.Didnot like clock & temperature not displayed yet.Did not like Echo Dot 5 showing device not compatible for auto updated 2nd generation Fire tv stick to become home theater system.Even after 2nd generation Fire TV stick was updated from Settings-->Fire TV-->Install updates several times & restarted till it showed latest up to date Fire TV OS.I didnot like vendor lockin for common man. Till date,There is no Interoperability with compatibility between Fire OS,Fire TV Stick 2nd generation,Echo Dot 5,Google Assistant,Google Nest Mini 2,Google Chrome cast & such smart IOT devices which is much required to make more value for money & make life simpler for all.I did not like there is no standardization of manufacturing standard Gaming remote control pairing standards that can work with Fire TV stick.I did not like that Amazon Luna on Fire TV stick is not allowed in India.I didnot like that,no common interoperability open standards for Virtual reality shopping, gaming & other applications with Echo Dot 5 & other company smart IOT devices are being governed by IEEE or such institutions for net neutrality & better future with more value for money without vendor lockin.",BlueConfiguration: Echo Dot Only,16 October 2023,Echo Dot 5 is good smart speaker of small size with some Pros and Cons,en,"Liked that,Echo Dot 5 can be used as external bluetooth speaker even for 2nd generation Fire TV stick attached to older non smart HDMI TV.It also controlled the 2nd generation Fire TV stick to open applications & all on TV,do some searches on TV as well.It has temperature sensor & some ultrasound sensor which couldn't be tested without more smart devices.The bass sound is good from small speaker. Mics are nice & sensitive enough.It came preconfigured & connected directly from Amazon cloud synced data from 2nd generation Fire TV stick.Didnot like no rechargable battery included.Always a corded wire shows up.Looks bad for a smart device.Didnot like clock & temperature not displayed yet.Did not like Echo Dot 5 showing device not compatible for auto updated 2nd generation Fire tv stick to become home theater system.Even after 2nd generation Fire TV stick was updated from Settings-->Fire TV-->Install updates several times & restarted till it showed latest up to date Fire TV OS.I didnot like vendor lockin for common man. Till date,There is no Interoperability with compatibility between Fire OS,Fire TV Stick 2nd generation,Echo Dot 5,Google Assistant,Google Nest Mini 2,Google Chrome cast & such smart IOT devices which is much required to make more value for money & make life simpler for all.I did not like there is no standardization of manufacturing standard Gaming remote control pairing standards that can work with Fire TV stick.I did not like that Amazon Luna on Fire TV stick is not allowed in India.I didnot like that,no common interoperability open standards for Virtual reality shopping, gaming & other applications with Echo Dot 5 & other company smart IOT devices are being governed by IEEE or such institutions for net neutrality & better future with more value for money without vendor lockin."
Deekshith,3.0 out of 5 stars,Voice recognition is working properly,BlueConfiguration: Echo Dot Only,15 October 2025,Voice,en,Voice recognition is working properly
Rajesh kumar,5.0 out of 5 stars,Good sound quality but not added too much facilities. But ok,BlueConfiguration: Echo Dot Only,29 October 2025,Good sound quality,en,Good sound quality but not added too much facilities. But ok
Amazon Customer,3.0 out of 5 stars,Volume is very low echo dotAmazon subscription required for daily taskAs spotify doesn't have much old songs,BlueConfiguration: Echo Dot Only,6 October 2025,Low volume,en,Volume is very low echo dotAmazon subscription required for daily taskAs spotify doesn't have much old songs
vjose,5.0 out of 5 stars,Much improved loudness and sound quality compared to earlier generation,BlackConfiguration: Echo Dot Only,31 October 2025,Good buy,en,Much improved loudness and sound quality compared to earlier generation
Praveen Kumar,3.0 out of 5 stars,Product is good but language change telugu option no in 5th generation,BlackConfiguration: Echo Dot Only,8 October 2025,Language,en,Product is good but language change telugu option no in 5th generation
Placeholder,5.0 out of 5 stars,I use it for my baby. She loves it and I think her first word is going to be Alexa.,BlackConfiguration: Echo Dot Only,20 October 2025,Good performance,en,I use it for my baby. She loves it and I think her first word is going to be Alexa.
Manoj chandani,5.0 out of 5 stars,Amazing,BlueConfiguration: Echo Dot Only,4 November 2025,Useful,sw,Amazing
Pawan Dubey,4.0 out of 5 stars,Alexa is excellent,WhiteConfiguration: Echo Dot Only,19 August 2025,Alexa,ca,Alexa is excellent
Rahul nigam,3.0 out of 5 stars,Sound is good but equlizer option is now disabled in alexa app and in top of that customer service has no update on this.,BlackConfiguration: Echo Dot Only,25 September 2025,Equlizer not present,en,Sound is good but equlizer option is now disabled in alexa app and in top of that customer service has no update on this.
VIPUL SANGHVI,5.0 out of 5 stars,This is good product,BlueConfiguration: Echo Dot Only,28 October 2025,Good product,en,This is good product
Subramania K.,5.0 out of 5 stars,"Amazon Echo dot made our nights pleasing and Alexa is our night routine for teasing, playing and listening to all our favourite songs. Thanks to amazon for the product.",BlackConfiguration: Echo Dot Only,10 October 2025,Amazon Echo Dot - Simply Super,en,"Amazon Echo dot made our nights pleasing and Alexa is our night routine for teasing, playing and listening to all our favourite songs. Thanks to amazon for the product."
Akash H.,5.0 out of 5 stars,Good Quality of Product. Easy to use and configure.,BlueConfiguration: Echo Dot Only,22 October 2025,Good Quality of Product,en,Good Quality of Product. Easy to use and configure.
Shivank Gupta,3.0 out of 5 stars,"Its good but manu features not available. Follow up mod is not working and washing Machine announcement not working after changing the market place from.com to.in and it is been more than a month they trying to fix the issues but ticket still open and issues are not fixed.Routines feature is not properly work as we are not able to announce any routine for every hours for upto 4 or 5 hours, it is not able to specify.",BlueConfiguration: Echo Dot Only,17 August 2025,"Only good, lacking of features",en,"Its good but manu features not available. Follow up mod is not working and washing Machine announcement not working after changing the market place from.com to.in and it is been more than a month they trying to fix the issues but ticket still open and issues are not fixed.Routines feature is not properly work as we are not able to announce any routine for every hours for upto 4 or 5 hours, it is not able to specify."
antony praveen,5.0 out of 5 stars,GOOD,WhiteConfiguration: Echo Dot Only,26 October 2025,GOOD,de,GOOD
satish,2.0 out of 5 stars,"I’ve been using this device since May 2023, and honestly, from day one, I’ve felt disappointed with my purchase. There are a few ongoing issues that really need attention:1. Poor voice recognition: It doesn’t recognise words properly, especially Indian English. In reality, when we ask for Telugu or Tamil songs, it just doesn’t understand or play the correct ones.2. Frequent disconnection issues: Every 3–4 months, it disconnects on its own, and I have to reset it to make it work again. This time, it hasn’t connected for the last 10 days.3. Lack of helpful suggestions: Alexa should give regular suggestions through the mobile app or YouTube on how to make better use of it. Right now, we only use it for songs, reminders, time, and weather.4. Maintenance issue: My Echo is kept in the kitchen, and it has tiny holes that easily collect dust. I have no idea how to clean them safely.Overall, I feel quite disappointed that I bought this. I should have gone for a Google product instead — at least it understands Indian English and regional language names much better.",BlueConfiguration: Echo Dot Only,5 November 2025,Long-Term Review (Using Since May 2023),en,"I’ve been using this device since May 2023, and honestly, from day one, I’ve felt disappointed with my purchase. There are a few ongoing issues that really need attention:1. Poor voice recognition: It doesn’t recognise words properly, especially Indian English. In reality, when we ask for Telugu or Tamil songs, it just doesn’t understand or play the correct ones.2. Frequent disconnection issues: Every 3–4 months, it disconnects on its own, and I have to reset it to make it work again. This time, it hasn’t connected for the last 10 days.3. Lack of helpful suggestions: Alexa should give regular suggestions through the mobile app or YouTube on how to make better use of it. Right now, we only use it for songs, reminders, time, and weather.4. Maintenance issue: My Echo is kept in the kitchen, and it has tiny holes that easily collect dust. I have no idea how to clean them safely.Overall, I feel quite disappointed that I bought this. I should have gone for a Google product instead — at least it understands Indian English and regional language names much better."
Sachin Singh,4.0 out of 5 stars,Good Product bougt it for my sister. Looking to buy it again just waiting for price drop. Sound quality is best.,BlueConfiguration: Echo Dot Only,2 August 2025,Fabulous,en,Good Product bougt it for my sister. Looking to buy it again just waiting for price drop. Sound quality is best.
Shantkumar,5.0 out of 5 stars,Sound quality is good andVoice recognition is amazing,BlackConfiguration: Echo Dot Only,18 October 2025,Good sounds,en,Sound quality is good andVoice recognition is amazing
Sumit,3.0 out of 5 stars,"Giving it 3 because i was searching for a bluetooth speaker and amazon showed as one of the best selling one. It is not a bluetooth speaker in traditional sense. U can pair it with bluetooth but the process is cumbersome and it does not have a battery and has to powered by cord for use which is not informed in product description. If you are not into voice assistant or dont use it very frequently, it is of no use. Moreover it can't be returned, it can only be replaced with same product, so if you don't like the experience u don't have the option for return. Basically you are stuck with it. For me it was waste of money though i admit I should have researched better. Kind of diappointed as it is amazon product and being a customer satisfaction oriented company I expected them to give option of return if one doesn't like the experience.",BlueConfiguration: Echo Dot Only,19 July 2025,It is not a bluetooth speaker,en,"Giving it 3 because i was searching for a bluetooth speaker and amazon showed as one of the best selling one. It is not a bluetooth speaker in traditional sense. U can pair it with bluetooth but the process is cumbersome and it does not have a battery and has to powered by cord for use which is not informed in product description. If you are not into voice assistant or dont use it very frequently, it is of no use. Moreover it can't be returned, it can only be replaced with same product, so if you don't like the experience u don't have the option for return. Basically you are stuck with it. For me it was waste of money though i admit I should have researched better. Kind of diappointed as it is amazon product and being a customer satisfaction oriented company I expected them to give option of return if one doesn't like the experience."
rana pratap,5.0 out of 5 stars,"I am writing my review after using it for 1 year, it is a very wonderful and amazing product.",BlueConfiguration: Echo Dot Only,9 October 2025,Jabardast,en,"I am writing my review after using it for 1 year, it is a very wonderful and amazing product."
Gp Capt PS Sanal Kumar (Retd),5.0 out of 5 stars,Good one,BlackConfiguration: Echo Dot Only,22 October 2025,Amazon echo dot,en,Good one
Amazon Customer,5.0 out of 5 stars,Awesome product.Loved it.Highly recommended . Sound is too good.Thanks,BlueConfiguration: Echo Dot Only,16 October 2025,Must have,en,Awesome product.Loved it.Highly recommended . Sound is too good.Thanks
3 glass is broken and not a genuine product,5.0 out of 5 stars,Best product for every family,WhiteConfiguration: Echo Dot Only,18 October 2025,Best,en,Best product for every family
Madhav,5.0 out of 5 stars,First time using an echo dot and I’m enjoying it,BlueConfiguration: Echo Dot Only,11 October 2025,Good product,en,First time using an echo dot and I’m enjoying it
Narinder Kaur,5.0 out of 5 stars,"I had third generation before my nephew broke it so I bought Alexa fourth generation echo that one was such a disappointment and had to return it now I got fifth generation echo dot and I love it. It’s very light. I find it smaller a little smaller and a light lighter than the third generation, which is great because I travel a lot, and I carry this around with me. Sound  Quality is also very good a lot better than fourth generation echo",BlackConfiguration: Echo Dot Only,12 October 2025,I love eco dot,en,"I had third generation before my nephew broke it so I bought Alexa fourth generation echo that one was such a disappointment and had to return it now I got fifth generation echo dot and I love it. It’s very light. I find it smaller a little smaller and a light lighter than the third generation, which is great because I travel a lot, and I carry this around with me. Sound  Quality is also very good a lot better than fourth generation echo"
Dr. Padmavathi K,5.0 out of 5 stars,It doesnt play songs from you tube. But supports spotify. It doesnt identify language while playing songs. It can identify the singer,BlueConfiguration: Echo Dot Only,3 October 2025,Nil,en,It doesnt play songs from you tube. But supports spotify. It doesnt identify language while playing songs. It can identify the singer
Priyal Kumar,2.0 out of 5 stars,"The ultrasonic motion detector is unusable, it works like 10% of the time only. Google it up guys, everyone is complaining about it.Sound recognition is better in English than in Hindi. You can only talk to Alexa in simple sentences. Can't process multiple sentences (Alexa, turn off fan and turn on the bulb) or complex queries. Sound quality is impressive but to play music, you must have Amazon Prime membership or Spotify Premium. It also can't tell you when a place is open or close by looking at Google Maps, only Google Nest speakers have that functionality. Not just its use cases are very less, half of the time, it misinterprets what you are saying, so you have to reframe your command it different ways. For the whole day, if you have to keep on saying ""Alexa, ... Alexa ..."", it feels awkward; Your family will look at you as if you are an idiot.In the Alexa app, I can't save my house address, it shows error?? Also, the app is slow, for each menu you click, it has to fetch data from the cloud.When I tell it, ""Turn on the geyser for 10 minutes"", it instead, turns on my geyser after 10 minutes. When I tell it ""For 10 minutes, turn on my geyser."". That's when it understands my query and does what I want. So, you have to remember what combination works and what doesn't. If you say ""pankha chala do"" instead of ""fan chala do"", then it will say that ""No device named Pankha is found"". So, you have to remember the names of the devices. Like, I have multiple tubelights on smart home n/w. But I've to save their name differently, one is named ""tubelight"", other is named ""bulb"".It rained yesterday, but when I asked Alexa if it rained yesterday, it said ""No ..."". So you can't believe it to know the weather as well.When I ask Alexa about which one of my Amazon Delivery is due today, it instead reads all of my delivery.In plain words, it mostly sucks.Only useful query are these simple sentences: ""Alexa, turn off entryway light"", ""Alexa, turn on the socket"", etc.Google Home Mini is cheaper at Rs.4.5kIts Assistant AI is better. And it can tell you when a shop is open or where a particular food item is available in which restaurant. Also, if there is traffic or not.",BlueConfiguration: Echo Dot Only,20 February 2025,Better buy Google Home Mini,en,"The ultrasonic motion detector is unusable, it works like 10% of the time only. Google it up guys, everyone is complaining about it.Sound recognition is better in English than in Hindi. You can only talk to Alexa in simple sentences. Can't process multiple sentences (Alexa, turn off fan and turn on the bulb) or complex queries. Sound quality is impressive but to play music, you must have Amazon Prime membership or Spotify Premium. It also can't tell you when a place is open or close by looking at Google Maps, only Google Nest speakers have that functionality. Not just its use cases are very less, half of the time, it misinterprets what you are saying, so you have to reframe your command it different ways. For the whole day, if you have to keep on saying ""Alexa, ... Alexa ..."", it feels awkward; Your family will look at you as if you are an idiot.In the Alexa app, I can't save my house address, it shows error?? Also, the app is slow, for each menu you click, it has to fetch data from the cloud.When I tell it, ""Turn on the geyser for 10 minutes"", it instead, turns on my geyser after 10 minutes. When I tell it ""For 10 minutes, turn on my geyser."". That's when it understands my query and does what I want. So, you have to remember what combination works and what doesn't. If you say ""pankha chala do"" instead of ""fan chala do"", then it will say that ""No device named Pankha is found"". So, you have to remember the names of the devices. Like, I have multiple tubelights on smart home n/w. But I've to save their name differently, one is named ""tubelight"", other is named ""bulb"".It rained yesterday, but when I asked Alexa if it rained yesterday, it said ""No ..."". So you can't believe it to know the weather as well.When I ask Alexa about which one of my Amazon Delivery is due today, it instead reads all of my delivery.In plain words, it mostly sucks.Only useful query are these simple sentences: ""Alexa, turn off entryway light"", ""Alexa, turn on the socket"", etc.Google Home Mini is cheaper at Rs.4.5kIts Assistant AI is better. And it can tell you when a shop is open or where a particular food item is available in which restaurant. Also, if there is traffic or not."
ASHOK KUMAR,5.0 out of 5 stars,Very nice productWatch saat me hoti to aur bhi acha hota.,BlueConfiguration: Echo Dot Only,10 October 2025,Very good product,en,Very nice productWatch saat me hoti to aur bhi acha hota.
Sudhakar,5.0 out of 5 stars,Sound quality is low,BlackConfiguration: Echo Dot Only,14 October 2025,Sound quality is low,en,Sound quality is low
Guruprabhan,5.0 out of 5 stars,Thanks for your support,BlackConfiguration: Echo Dot Only,14 October 2025,Better,en,Thanks for your support
Argha Dutta,5.0 out of 5 stars,Amazing,WhiteConfiguration: Echo Dot Only,16 October 2025,Amazing,sw,Amazing
Pritam Ray,5.0 out of 5 stars,Very good quality.,BlackConfiguration: Echo Dot Only,14 October 2025,Alexa,en,Very good quality.
Ankit D.,5.0 out of 5 stars,Good buy,BlackConfiguration: Echo Dot Only,14 October 2025,Good stuff,so,Good buy
Amritpal singh,5.0 out of 5 stars,Very good product,BlackConfiguration: Echo Dot Only,12 October 2025,Good work with smart gadget,en,Very good product
Amazon Customer,5.0 out of 5 stars,This is good product,BlueConfiguration: Echo Dot Only,10 October 2025,Alexa,en,This is good product
Placeholder,5.0 out of 5 stars,Great but it doesn't work properly,BlueConfiguration: Echo Dot Only,13 October 2025,Need to fix so many things doesn't understand properly,en,Great but it doesn't work properly
JITENDRA Singh BHATI,5.0 out of 5 stars,Vari Good product,BlueConfiguration: Echo Dot Only,11 October 2025,,ro,Vari Good product
Akshatha,5.0 out of 5 stars,Product is very good. Best sound quality it has,BlueConfiguration: Echo Dot Only,7 October 2025,Best product,en,Product is very good. Best sound quality it has
ankitpithwa,5.0 out of 5 stars,Good product,WhiteConfiguration: Echo Dot Only,9 October 2025,Good sound quality,en,Good product
Saifulla,5.0 out of 5 stars,Awesome product,BlackConfiguration: Echo Dot Only,9 October 2025,Sound Quality is good,en,Awesome product
Placeholder,5.0 out of 5 stars,Very niceVol is ok****Response time 👍Sound quality 👍 bollywood song searching time no upto mark🙂😯,BlueConfiguration: Echo Dot Only,7 October 2025,Overall good,en,Very niceVol is ok****Response time 👍Sound quality 👍 bollywood song searching time no upto mark🙂😯
Girish Chandra gupta,5.0 out of 5 stars,Good,BlueConfiguration: Echo Dot Only,21 October 2025,Quality,so,Good
V P SINGH,4.0 out of 5 stars,Product woking fine now,BlueConfiguration: Echo Dot Only,2 August 2025,Product stopped working,en,Product woking fine now
Amazon Customer,5.0 out of 5 stars,Good,BlueConfiguration: Echo Dot Only,7 October 2025,It is working fine,so,Good
agul,3.0 out of 5 stars,Previous gens were better.,BlackConfiguration: Echo Dot Only,29 August 2025,Not satisfied.,af,Previous gens were better.
Lekitha Akil,5.0 out of 5 stars,Nice,BlueConfiguration: Echo Dot Only,4 October 2025,Good one,ro,Nice
Dr Manju Tiwari,5.0 out of 5 stars,Nice product.sound quality is awesome.,BlueConfiguration: Echo Dot Only,10 October 2025,Value for money,en,Nice product.sound quality is awesome.
Raveendran,5.0 out of 5 stars,Enjoying the 5th Ecodot.,BlueConfiguration: Echo Dot Only,3 October 2025,Really like the Alexa synchronised sound control and music selection,en,Enjoying the 5th Ecodot.
